species_binomial,by_spec_grav,family,genus,species,species_abbr,wd_avg,all_names
neobuchia paulinae,,Bombacaceae,Neobuchia,paulinae,paulinae,,mapou blanc
neobuchia paulinae,,Bombacaceae,Neobuchia,paulinae,paulinae,,mapou blan
neolaugeria resinosa,0.8,Rubiaceae,Neolaugeria,resinosa,resinosa,0.8,
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,lorie woz
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,laurier blanc
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,laurier des jardins
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,laurier rose
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,laurier tropical
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,lorie blan
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,lorie jaden
nerium oleander ,0.6,Apocynaceae,Nerium,oleander,oleander,0.6,lorie twopikal
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,koton swa
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,mahodem
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,bois madame
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,coton fleur
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,coton soie
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,fleurs mahaudeme
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,mahaudeme
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,koton fle
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,fle mahodem
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,bwa madam
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,cotton fleurs
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,fleurs mahandeme
ochroma pyramidale,0.22-0.26,Bombacaceae,Ochroma,pyramidale,pyramidale,0.24,mahandeme
ocotea coriacea,,Lauraceae,Ocotea,coriacea,coriacea,,lorie blan
ocotea coriacea,,Lauraceae,Ocotea,coriacea,coriacea,,lorie
ocotea coriacea,,Lauraceae,Ocotea,coriacea,coriacea,,laurier
ocotea coriacea,,Lauraceae,Ocotea,coriacea,coriacea,,laurier blanc
ocotea floribunda,,Lauraceae,Ocotea,floribunda,floribunda,,lorie piant
ocotea floribunda,,Lauraceae,Ocotea,floribunda,floribunda,,lorie
ocotea floribunda,,Lauraceae,Ocotea,floribunda,floribunda,,laurier puant
ocotea foeniculacea,,Lauraceae,Ocotea,foeniculacea,foeniculacea,,lorie
ocotea foeniculacea,,Lauraceae,Ocotea,foeniculacea,foeniculacea,,cannelle marron
ocotea foeniculacea,,Lauraceae,Ocotea,foeniculacea,foeniculacea,,kanel mawon
ocotea globosa,,Lauraceae,Ocotea,globosa,globosa,,lorie gran fey
ocotea globosa,,Lauraceae,Ocotea,globosa,globosa,,lorie
ocotea globosa,,Lauraceae,Ocotea,globosa,globosa,,laurier agrandes feuilles
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,doliv
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,lorie blan
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,lorie gep
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,lorie woz
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,lorie
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,d'olive
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,grande feuille
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,laurier
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,laurier blanc
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,laurier guepes
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,laurier rose
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,gran fey
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,d’olive
ocotea membranacea,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45,lorie jon
ocotea membranacea,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45,lorie
ocotea membranacea,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45,laurier jaune
ocotea membranacea,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45,loye
ocotea nemodaphne,,Lauraceae,Ocotea,nemodaphne,nemodaphne,,lorie
ocotea nemodaphne,,Lauraceae,Ocotea,nemodaphne,nemodaphne,,loye
ocotea oligoneura,,Lauraceae,Ocotea,oligoneura,oligoneura,,lorie
ocotea oligoneura,,Lauraceae,Ocotea,oligoneura,oligoneura,,loye
ocotea patens,,Lauraceae,Ocotea,patens,patens,,lorie
ocotea patens,,Lauraceae,Ocotea,patens,patens,,loye
ocotea sintensisii,0.55,Lauraceae,Ocotea,sintensisii,sintensisii,0.55,lorie
ocotea sintensisii,0.55,Lauraceae,Ocotea,sintensisii,sintensisii,0.55,loye
ocotea spp.,,Lauraceae,Ocotea,spp.,,,lorie
ocotea spp.,,Lauraceae,Ocotea,spp.,,,lorie blan
ocotea wrightii,,Lauraceae,Ocotea,wrightii,wrightii,,lorie
ocotea wrightii,,Lauraceae,Ocotea,wrightii,wrightii,,kanel
ocotea wrightii,,Lauraceae,Ocotea,wrightii,wrightii,,cannelle
ocotea wrightii,,Lauraceae,Ocotea,wrightii,wrightii,,loye
omphalea commutata,,Euphorbiaceae,Omphalea,commutata,commutata,,noisetier
