plot_no,Name,2010sum,2010mean,2010median,2017count,2017sum,2017mean,2018count,2018sum,2018mean,g0ha2018
19,2GONaive,0.090574101079255,0.005660881317453,0.00404401961714,16,0.598357005510479,0.037397312844405,16,0.74806579016149,0.046754111885093,0.87076224046636
20,3GONaive,0.221051776316017,0.008842071052641,0.007374313659966,25,0.456050620181486,0.018242024807259,25,0.352596483658999,0.01410385934636,0.2590288486983094
21,1casimir,1.27236654050648,0.036353329728757,0.033516373485327,35,1.23068874422461,0.035162535549275,35,1.55362523440272,0.044389292411506,0.8045449110072602
22,2casimir,0.248641681391746,0.016576112092783,0.013994355686009,15,0.122419929364696,0.008161328624313,15,0.234749176772311,0.015649945118154,0.2845878256678318
23,1Cobana,0.552304259501398,0.024013228673974,0.01623846590519,23,1.03853576933034,0.045153729101319,23,0.534479248803109,0.023238228208831,0.42938050318370136
24,2cobana,0.048504353966564,0.004850435396656,0.004182600416243,10,0.078798845410347,0.007879884541035,10,0.061522471136414,0.006152247113641,0.10128133488812265
25,Lerochekit,0.225563432089984,0.028195429011248,0.026262334547937,8,0.327045790851116,0.04088072385639,8,0.370503321290016,0.046312915161252,0.8191279011048522
26,Pandiassou,0.43869524076581,0.048743915640646,0.054480098187923,9,0.486186809837818,0.054020756648646,9,0.589871533215046,0.065541281468338,1.292691848591475
27,Lemer,0.437469381839037,0.072911563639839,0.072980780154467,6,0.480147279798985,0.080024546633164,6,0.395306646823883,0.065884441137314,0.9849415795702562
28,Malerish,0.421473167836666,0.046830351981852,0.045528829097748,9,0.628134790807962,0.069792754534218,9,0.462331669405103,0.051370185489456,0.9063725871780635
29,Campeche,0.60809887945652,0.043435634246894,0.041932454332709,14,1.15115715935826,0.082225511382733,14,1.07882156223059,0.07705868301647,1.2395521906080125
30,Lemanguier,0.914257138967514,0.05714107118547,0.053890783339739,16,0.714584708213806,0.044661544263363,16,1.01340335235,0.063337709521875,1.095979824903478
31,Pewpapai,0.610228184610605,0.061022818461061,0.061423355713487,10,0.605043929070234,0.060504392907023,10,0.696121908724308,0.069612190872431,1.107700877718834
32,PewPapay2,0.591567527037114,0.03697297043982,0.03597285784781,16,0.577883336693048,0.036117708543316,16,0.400909346528351,0.025056834158022,0.44971495582674403
33,Rantnovi,0.223495598882437,0.044699119776487,0.046684108674526,5,0.404791336506605,0.080958267301321,5,0.515370961278677,0.103074192255735,1.6549979348558366
34,Sapate,0.290738154668361,0.026430741333487,0.020027447491884,11,0.51169865205884,0.046518059278076,11,0.427672521211207,0.03887932011011,0.7508796211406484
35,tecase,0.374797306023538,0.022046900354326,0.023578658699989,17,0.608108194312081,0.035771070253652,17,0.265447413781658,0.015614553751862,0.23650085956096897
36,Pandiassou2,0.69187181442976,0.062897437675433,0.062558636069298,11,0.771886309608817,0.070171482691711,11,0.742709888145328,0.067519080740484,1.1247677420150957
