species_binomial,by_spec_grav,family,genus,species_extd,species,wd_avg,all_names
colubrina arborescens,0.55-0.82,Rhamnaceae,Colubrina,arborescens,arborescens,0.685,bwa petro
colubrina glandulosa,,Rhamnaceae,Colubrina,glandulosa,glandulosa,,bazek
colubrina spp.,,Rhamnaceae,Colubrina,spp.,,,bwa fe
comocladia cuneata,,Anacardiaceae,Comocladia,cuneata,cuneata,,bresillet
comocladia dentata,,Anacardiaceae,Comocladia,dentata,dentata,,bresillet
comocladia dodonaea,,Anacardiaceae,Comocladia,dodonaea,dodonaea,,bresillet
comocladia domingensis,,Anacardiaceae,Comocladia,domingensis,domingensis,,bresillet
comocladia glabra,,Anacardiaceae,Comocladia,glabra,glabra,,bresillet
comocladia pinnatifolia,,Anacardiaceae,Comocladia,pinnatifolia,pinnatifolia,,bresillet
cordia laevigata,,Boraginaceae,Cordia,laevigata,laevigata,,bwa poupe
cordia laevigata,,Boraginaceae,Cordia,laevigata,laevigata,,poupe
couroupita guianensis,,Lecythidaceae,Couroupita,guianensis,guianensis,,bwa dom
crescentia cujete,0.5-0.8,Bignoniaceae,Crescentia,cujete,cujete,0.65,calebasse
croton glabellus,,Euphorbiaceae,Croton,glabellus,glabellus,,bois blanc
cupania americana,0.4,Sapindaceae,Cupania,americana,americana,0.4,satanye
delonix regia ,0.8,Fabaceae,Delonix,regia ,regia,0.8,flambwayan
duranta repens,,Verbenaceae,Duranta,repens,repens,,jambet
ehretia tinifolia,,Boraginaceae,Ehretia,tinifolia,tinifolia,,bwa nwa
ehretia tinifolia,,Boraginaceae,Ehretia,tinifolia,tinifolia,,bois noir
eucalyptus camaldulensis,,Myrtaceae,Eucalyptus,camaldulensis,camaldulensis,,kaliptis
eucalyptus camaldulensis,,Myrtaceae,Eucalyptus,camaldulensis,camaldulensis,,eucalyptus
eucalyptus globulus,0.67-0.8,Myrtaceae,Eucalyptus,globulus,globulus,0.7350000000000001,kaliptis
eucalyptus globulus,0.67-0.8,Myrtaceae,Eucalyptus,globulus,globulus,0.7350000000000001,eucalyptus
eucalyptus spp.,,Myrtaceae,Eucalyptus,spp.,,,kaliptis
eucalyptus tereticornis,,Myrtaceae,Eucalyptus,tereticornis,tereticornis,,kaliptis
eucalyptus tereticornis,,Myrtaceae,Eucalyptus,tereticornis,tereticornis,,eucalyptus
ficus benjamina,,Moraceae,Ficus,benjamina,benjamina,,figye
ficus benjamina,,Moraceae,Ficus,benjamina,benjamina,,figuier
ficus carica,,Moraceae,Ficus,carica,carica,,figye
ficus citrifolia,0.4,Moraceae,Ficus,citrifolia,citrifolia,0.4,figye
ficus elastica,,Moraceae,Ficus,elastica,elastica,,figye
ficus microcarpa,0.5,Moraceae,Ficus,microcarpa,microcarpa,0.5,figye
ficus religiosa,,Moraceae,Ficus,religiosa,religiosa,,figye
ficus spp.,,,Ficus,spp.,,,figye
ficus trigonata,,Moraceae,Ficus,trigonata,trigonata,,figye
ficus trigonata,,Moraceae,Ficus,trigonata,trigonata,,figuier
garcinia humilis,,,Garcinia,humilis,humilis,,abricot
garcinia humilis,,Clusiaceae,Garcinia,humilis,humilis,,abricot
gliricidia sepium,0.47-0.75,Fabaceae,Gliricidia,sepium,sepium,0.61,gliricidia
guaiacum officinale,,Zygophyllaceae,Guaiacum,officinale,officinale,,gaiac
guaiacum spp.,0.89-1.3,Zygophyllaceae,Guaiacum,spp.,,1.095,gaiac
guarea guidonia,,Meliaceae,Guarea,guidonia,guidonia,,palmis
guarea guidonia,,Meliaceae,Guarea,guidonia,guidonia,,bwa dom
guarea guidonia,,Meliaceae,Guarea,guidonia,guidonia,,bazek
guatteria blainii,0.8,Annonaceae,Guatteria,blainii,blainii,0.8,bwa nwa
guatteria blainii,0.8,Annonaceae,Guatteria,blainii,blainii,0.8,bois noir
guazuma ulmifolia,0.5,Malvaceae,Guazuma,ulmifolia,ulmifolia,0.5,bwa dom
haematoxylum brasiletto,0.71-0.9,Fabaceae,Haematoxylum,brasiletto,brasiletto,0.8049999999999999,campeche
haematoxylum campechianum,0.54-0.95,Fabaceae,Haematoxylum,campechianum,campechianum,0.745,bois bleu
helicteres jamaicensis,,Malvaceae,Helicteres,jamaicensis,jamaicensis,,bwa dom
hura crepitans,0.26-0.4,Euphorbiaceae,Hura,crepitans,crepitans,0.33,rabi
inga vera spp. vera,0.57-0.75,Fabaceae,Inga,vera spp. vera,vera,0.6599999999999999,sikren
jacquinia spp.,,Theophrastaceae,Jacquinia,spp.,,,bande
juniperus gracilior,,Cupressaceae,Juniperus,gracilior,gracilior,,cedre
juniperus gracilior,,Cupressaceae,Juniperus,gracilior,gracilior,,sed
krugiodendron ferreum,0.96-1.04,Rhamnaceae,Krugiodendron,ferreum,ferreum,1.0,bwa fe
leucaena diversifolia,,Fabaceae,Leucaena,diversifolia,diversifolia,,diversifolia
leucaena leucocephala subsp. glabrata,0.5-0.79,Fabaceae,Leucaena,leucocephala subsp. glabrata,leucocephala,0.645,leucaena
leucaena leucocephala subsp. leucocephala,0.7,Fabaceae,Leucaena,leucocephala subsp. leucocephala,leucocephala,0.7,delen
leucaena leucocephala subsp. leucocephala,0.7,Fabaceae,Leucaena,leucocephala subsp. leucocephala,leucocephala,0.7,madlenn
licaria triandra,0.68-0.96,Lauraceae,Licaria,triandra,triandra,0.8200000000000001,lorie
mammea americana,0.62,Clusiaceae,Mammea,americana,americana,0.62,abricot
mangifera indica,0.45-0.58,Anacardiaceae,Mangifera,indica,indica,0.515,mango
matayba scrobiculata,,Sapindaceae,Matayba,scrobiculata,scrobiculata,,satanye
melicoccus bijugatus,,Sapindaceae,Melicoccus,bijugatus,bijugatus,,kenep
meliosma abbreviata,,Sabiaceae,Meliosma,abbreviata,abbreviata,,koma
meliosma abbreviata,,Sabiaceae,Meliosma,abbreviata,abbreviata,,akoma
morinda citrifolia,,Rubiaceae,Morinda,citrifolia,citrifolia,,noni
moringa oleifera ,,Moringaceae,Moringa,oleifera ,oleifera,,moringa
muntingia calabura,,Elaeocarpaceae,Muntingia,calabura,calabura,,bwa dom
myrsine coriacea,0.7,Myrsinaceae,Myrsine,coriacea,coriacea,0.7,bwa savann
myrsine coriacea,0.7,Myrsinaceae,Myrsine,coriacea,coriacea,0.7,savann
ocotea coriacea,,Lauraceae,Ocotea,coriacea,coriacea,,lorie
ocotea floribunda,,Lauraceae,Ocotea,floribunda,floribunda,,lorie
ocotea foeniculacea,,Lauraceae,Ocotea,foeniculacea,foeniculacea,,lorie
ocotea globosa,,Lauraceae,Ocotea,globosa,globosa,,lorie
ocotea leucoxylon,0.45,Lauraceae,Ocotea,leucoxylon,leucoxylon,0.45,lorie
ocotea membranacea,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45,lorie
ocotea membranacea,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45,loye
ocotea nemodaphne,,Lauraceae,Ocotea,nemodaphne,nemodaphne,,lorie
ocotea nemodaphne,,Lauraceae,Ocotea,nemodaphne,nemodaphne,,loye
ocotea oligoneura,,Lauraceae,Ocotea,oligoneura,oligoneura,,lorie
ocotea oligoneura,,Lauraceae,Ocotea,oligoneura,oligoneura,,loye
ocotea patens,,Lauraceae,Ocotea,patens,patens,,lorie
ocotea patens,,Lauraceae,Ocotea,patens,patens,,loye
ocotea sintensisii,0.55,Lauraceae,Ocotea,sintensisii,sintensisii,0.55,lorie
ocotea sintensisii,0.55,Lauraceae,Ocotea,sintensisii,sintensisii,0.55,loye
ocotea spp.,,Lauraceae,Ocotea,spp.,,,lorie
ocotea wrightii,,Lauraceae,Ocotea,wrightii,wrightii,,lorie
ocotea wrightii,,Lauraceae,Ocotea,wrightii,wrightii,,loye
omphalea spp.,,Euphorbiaceae,Omphalea,spp.,,,lorie
parkinsonia aculeata,0.56-0.67,Fabaceae,Parkinsonia,aculeata,aculeata,0.615,madame yass
persea americana,0.4-0.65,Lauraceae,Persea,americana,americana,0.525,zaboka
persea americana,0.4-0.65,Lauraceae,Persea,americana,americana,0.525,sambuca
petitia domingensis,0.66,Verbenaceae,Petitia,domingensis,domingensis,0.66,bwa doti
phyllostylon brasiliense,0.65-0.92,Ulmaceae,Phyllostylon,brasiliense,brasiliense,0.785,bois blanc
picrasma excelsa,,Simaroubaceae,Picrasma,excelsa,excelsa,,fwenn
picrasma excelsa,,Simaroubaceae,Picrasma,excelsa,excelsa,,frene
pinus occidentalis,0.58-0.76,Pinaceae,Pinus,occidentalis,occidentalis,0.6699999999999999,pin
piper aduncum,,Piperaceae,Piper,aduncum,aduncum,,bois major
piper amalago,,Piperaceae,Piper,amalago,amalago,,bwa anis
prosopis juliflora,0.8,Fabaceae,Prosopis,juliflora,juliflora,0.8,bayawonn
psidium guajava,0.8,Myrtaceae,Psidium,guajava,guajava,0.8,gwayav
pterocarpus gummifer,,Fabaceae,Pterocarpus,gummifer,gummifer,,bwa santi
pterocarpus gummifer,,Fabaceae,Pterocarpus,gummifer,gummifer,,bwa satsi
rauvolfia nitida,,Apocynaceae,Rauvolfia,nitida,nitida,,bois lait
ricinus communis,,Euphorbiaceae,Ricinus,communis,communis,,risin
roystonea borinquena,,Arecaceae,Roystonea,borinquena,borinquena,,palmis
sambucus spp.,,Adoxaceae,Sambucus,spp.,,,sambuca
sapium jamaicense,,Euphorbiaceae,Sapium,jamaicense,jamaicense,,bois lait
sapium laurifolium,,,Sapium,laurifolium,laurifolium,,bois lait
schaefferia frutescens,,Celastraceae,Schaefferia,frutescens,frutescens,,ti gason
schaefferia frutescens,,Celastraceae,Schaefferia,frutescens,frutescens,,capable
schaefferia frutescens,,Celastraceae,Schaefferia,frutescens,frutescens,,kapab
senna siamea,0.57-0.83,Fabaceae,Senna,siamea,siamea,0.7,kasya
senna siamea,0.57-0.83,Fabaceae,Senna,siamea,siamea,0.7,cassia
sesbania grandiflora,,Fabaceae,Sesbania,grandiflora,grandiflora,,pois vallier
sideroxylon portoricense,0.9,Sapotaceae,Sideroxylon,portoricense,portoricense,0.9,akoma
sideroxylon portoricense,0.9,Sapotaceae,Sideroxylon,portoricense,portoricense,0.9,koma
sideroxylon salicifolium,0.9-0.99,Sapotaceae,Sideroxylon,salicifolium,salicifolium,0.945,akoma
sideroxylon salicifolium,0.9-0.99,Sapotaceae,Sideroxylon,salicifolium,salicifolium,0.945,bwa satsi
sideroxylon spp.,,,Sideroxylon,spp.,,,bois blanc
simarouba berteroana,,Simaroubaceae,Simarouba,berteroana,berteroana,,fwenn
