by_binomial,creole,BY_spec_grav,family,genus,species,species_abbr,wd_avg
acacia nilotica,gommier,0.8,Fabaceae,Acacia,nilotica,nilotica,0.8
allophylus cominia,twa pawol,,Sapindaceae,Allophylus,cominia,cominia,
allophylus crassinervis,twa pawol,,Sapindaceae,Allophylus,crassinervis,crassinervis,
allophylus rigidus,twa pawol,,Sapindaceae,Allophylus,rigidus,rigidus,
amyris elemifera,twa pawol,,Rutaceae,Amyris,elemifera,elemifera,
annona urbaniana,magerit,,Annonaceae,Annona,urbaniana,urbaniana,
ateleia gummifer,bwa santi,,Fabaceae,Ateleia,gummifer,gummifer,
bunchosia media,bwa santi,,Malpighiaceae,Bunchosia,media,media,
bunchosia nitida,bwa santi,,Malpighiaceae,Bunchosia,nitida,nitida,
cameraria latifolia,bwa let,,Apocynaceae,Cameraria,latifolia,latifolia,
cinnamomum camphora,lorie,,Lauraceae,Cinnamomum,camphora,camphora,
cinnamomum montanum,lorie,,Lauraceae,Cinnamomum,montanum,montanum,
cinnamomum triplinervis,lorie,,Lauraceae,Cinnamomum,triplinervis,triplinervis,
citrus aurantifolia,sitwon,,Rutaceae,Citrus,aurantifolia,aurantifolia,
citrus aurantium,sitwon,,Rutaceae,Citrus,aurantium,aurantium,
citrus limetta,sitwon,,Rutaceae,Citrus,limetta,limetta,
citrus limon,sitwon,,Rutaceae,Citrus,limon,limon,
citrus maxima,sitwon,,Rutaceae,Citrus,maxima,maxima,
citrus maxima,chadek,,Rutaceae,Citrus,maxima,maxima,
citrus medica,sitwon,,Rutaceae,Citrus,medica,medica,
citrus reticulata,sitwon,,Rutaceae,Citrus,reticulata,reticulata,
citrus sinensis,sitwon,,Rutaceae,Citrus,sinensis,sinensis,
citrus sinensis,zoranj dous,,Rutaceae,Citrus,sinensis,sinensis,
citrus x paradisi,sitwon,,Rutaceae,Citrus,x paradisi,x,
coccothrinax argentea,gwenn,,Arecaceae,Coccothrinax,argentea,argentea,
coccothrinax argentea,latanye,,Arecaceae,Coccothrinax,argentea,argentea,
coccothrinax ekmanii,gwenn,,Arecaceae,Coccothrinax,ekmanii,ekmanii,
cordia laevigata,bwa poupe,,Boraginaceae,Cordia,laevigata,laevigata,
ehretia tinifolia,bwa nwa,,Boraginaceae,Ehretia,tinifolia,tinifolia,
eucalyptus tereticornis,kaliptis,,Myrtaceae,Eucalyptus,tereticornis,tereticornis,
ficus benjamina,figye,,Moraceae,Ficus,benjamina,benjamina,
ficus carica,figye,,Moraceae,Ficus,carica,carica,
ficus citrifolia,figye,0.4,Moraceae,Ficus,citrifolia,citrifolia,0.4
ficus microcarpa,figye,0.5,Moraceae,Ficus,microcarpa,microcarpa,0.5
ficus religiosa,figye,,Moraceae,Ficus,religiosa,religiosa,
meliosma abbreviata,koma,,Sabiaceae,Meliosma,abbreviata,abbreviata,
ocotea foeniculacea,lorie,,Lauraceae,Ocotea,foeniculacea,foeniculacea,
ocotea nemodaphne,lorie,,Lauraceae,Ocotea,nemodaphne,nemodaphne,
ocotea oligoneura,lorie,,Lauraceae,Ocotea,oligoneura,oligoneura,
ocotea patens,lorie,,Lauraceae,Ocotea,patens,patens,
ocotea sintensisii,lorie,0.55,Lauraceae,Ocotea,sintensisii,sintensisii,0.55
ocotea wrightii,lorie,,Lauraceae,Ocotea,wrightii,wrightii,
piper amalago,bwa anis,,Piperaceae,Piper,amalago,amalago,
pseudalbizzia berteriana,bwa savann,,Fabaceae,Pseudalbizzia,berteriana,berteriana,
rheedia laterifolia,zabriko,,Clusiaceae,Rheedia,laterifolia,laterifolia,
sapium jamaicense,bwa let,,Euphorbiaceae,Sapium,jamaicense,jamaicense,
sesbania grandiflora,pwa valye,,Fabaceae,Sesbania,grandiflora,grandiflora,
simarouba berteroana,fwenn,,Simaroubaceae,Simarouba,berteroana,berteroana,
simarouba glauca dc. var. latifolia,fwenn,,Simaroubaceae,Simarouba,glauca dc. var. latifolia,glauca,
tabebuia acrophylla,bwa savann,,Bignoniaceae,Tabebuia,acrophylla,acrophylla,
tabebuia berteri,bwa sip,,Bignoniaceae,Tabebuia,berteri,berteri,
thrinax radiata,latanye lame,,Arecaceae,Thrinax,radiata,radiata,
trichilia havanensis,bwa loray,,Meliaceae,Trichilia,havanensis,havanensis,
trichilia pallida,twa pawol,,Meliaceae,Trichilia,pallida,pallida,
vitex heptaphylla,bwa savann,,Verbenaceae,Vitex,heptaphylla,heptaphylla,
zombia antillarum,latanye,,Arecaceae,Zombia,antillarum,antillarum,
