sp_creole,dbh_cm,ht_m,ba_m2,plot_no,plot_shp,plot_area,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,mean_BYfm,sd_BYfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm
bayawonn,8.3,,0.005410607947645022,33,Rantnovi.shp,0.31140300000000004,0.8,,0.8,,0.7454347826086957,0.14318545700878368,0.79375,0.0708232617216773,0.771932291666667,0.0941339098036177,0.771932291666667,0.0941339098036177,0.79375,0.0708232617216773
palmis,11.0,,0.009503317777109124,33,Rantnovi.shp,0.31140300000000004,,,,,,,0.551760416666667,0.12340172424716199,0.551760416666667,0.12340172424716199,0.6391074182398989,0.162350069570257,0.551760416666667,0.12340172424716199
bwa pine,15.3,,0.01838538560697087,33,Rantnovi.shp,0.31140300000000004,0.7675000000000001,,0.7675000000000001,0.010606601717798262,0.8283333333333335,0.1056330125166055,0.77125,0.0708232617216773,0.622329737466834,0.0941339098036177,0.622329737466834,0.0941339098036177,0.7001203643578644,0.0824785857626475
bayawonn,10.0,15.0,0.007853981633974483,33,Rantnovi.shp,0.31140300000000004,0.8,,0.8,,0.7454347826086957,0.14318545700878368,0.79375,0.0708232617216773,0.771932291666667,0.0941339098036177,0.771932291666667,0.0941339098036177,0.79375,0.0708232617216773
bayawonn,5.0,11.0,0.0019634954084936213,33,Rantnovi.shp,0.31140300000000004,0.8,,0.8,,0.7454347826086957,0.14318545700878368,0.79375,0.0708232617216773,0.771932291666667,0.0941339098036177,0.771932291666667,0.0941339098036177,0.79375,0.0708232617216773
bayawonn,5.2,,0.0021237166338267006,33,Rantnovi.shp,0.31140300000000004,0.8,,0.8,,0.7454347826086957,0.14318545700878368,0.79375,0.0708232617216773,0.771932291666667,0.0941339098036177,0.771932291666667,0.0941339098036177,0.79375,0.0708232617216773
sikren,6.5,,0.0033183072403542195,33,Rantnovi.shp,0.31140300000000004,0.6599999999999999,,0.6599999999999999,,0.7454347826086957,0.14318545700878368,0.66,0.0708232617216773,0.5800848238482379,0.0941339098036177,0.5800848238482379,0.0941339098036177,0.578086944444444,0.0941339098036177
kas,18.0,,0.02544690049407732,33,Rantnovi.shp,0.31140300000000004,,,,,0.7454347826086957,0.14318545700878368,0.616,0.0708232617216773,0.7358277777777779,0.0941339098036177,0.7358277777777779,0.0941339098036177,0.616,0.0708232617216773
kas,12.4,14.0,0.012076282160399163,33,Rantnovi.shp,0.31140300000000004,,,,,0.7454347826086957,0.14318545700878368,0.616,0.0708232617216773,0.7358277777777779,0.0941339098036177,0.7358277777777779,0.0941339098036177,0.616,0.0708232617216773
kas,6.8,13.0,0.0036316811075498014,33,Rantnovi.shp,0.31140300000000004,,,,,0.7454347826086957,0.14318545700878368,0.616,0.0708232617216773,0.7358277777777779,0.0941339098036177,0.7358277777777779,0.0941339098036177,0.616,0.0708232617216773
