all_names,sd_sp,med_sp,mean_sp,sd_gn,med_gn,mean_gn,sd_fm,med_fm,mean_fm
bwa ti fey,,1.0150000000000001,1.0138592452210524,,1.0150000000000001,1.0138592452210524,,0.74301,0.7630388201348822
bwa ti gason,,0.541875,0.5406356571625001,,0.541875,0.5406356571625001,,0.541875,0.5406356571625001
bwa tramble,,0.5268962500000001,0.5201584750000001,,0.5268962500000001,0.5201584750000001,,0.673,0.6752130740777778
bwa tremble,,0.62,0.6016566000000001,,0.62,0.6016566000000001,,0.673,0.6752130740777778
bwa twompet,,0.315,0.315,,0.33,0.335197710137931,,0.46725,0.4806630887701465
bwa vach,,0.395,0.4083333333333333,,0.395,0.4014223684210526,,0.48107999999999995,0.5455080724271253
bwa velou,,0.75,0.7580427083333333,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
bwa wil,,0.86,0.8677016639999999,,0.86,0.8677016639999999,,0.7689999999999999,0.7471137938687258
bwa wouj,,0.54026,0.5450520000000001,,0.535,0.5426873290846153,,0.54125,0.5503809042945451
bwa woz,,0.47108,0.4901661538461538,,0.7005,0.6968901315825535,,0.6625000000000001,0.668628005104453
bwa zed,,0.65,0.7385833333333333,,0.7425052495,0.7439239793076924,,0.7625000000000001,0.7678700211351353
bwa zet,,0.65,0.7385833333333333,,0.7425052495,0.7439239793076924,,0.7625000000000001,0.7678700211351353
bwa-ple,,0.6925,0.6925,,0.7425052495,0.7439239793076924,,0.7625000000000001,0.7678700211351353
bwapal,,0.563212375,0.5489096699375,,0.6497168905,0.6510616638793103,0.4097523466825996,0.6875,0.6980207277713621
bwatifey,,0.70602,0.7220066666666667,,0.70602,0.7220066666666667,,0.70602,0.7220066666666667
bwis beni,,0.72324,0.7042739047619048,,0.72324,0.7042739047619048,,0.72324,0.7042739047619048
bwis sab,,0.355,0.3486654359,,0.355,0.34906134615625,,0.48107999999999995,0.5455080724271253
cabirma de guinea,,0.5575,0.5575,,0.5700000000000001,0.5725762566136363,,0.54125,0.5503809042945451
caca chien,,0.825,0.825,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
caca poule,,0.62,0.6227679243076923,,0.62,0.6227679243076923,,0.7125,0.7066055048099998
cacache,,0.75,0.7580427083333333,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
cache,,0.825,0.825,,0.75,0.7580427083333333,,0.74055,0.7209919791666667
cachibou,,0.3225,0.3175,,0.325,0.3190909090909091,,0.51875,0.5199424932699006
cachima,,0.55,0.55,,0.5,0.4805487873846154,,0.595,0.5772333305037176
cachiman,,0.591848,0.5839493333333334,,0.5,0.4805487873846154,,0.595,0.5772333305037176
cachiman cannelle,,0.633696,0.6178986666666667,,0.5,0.4805487873846154,,0.595,0.5772333305037176
cachiman coeur de boeuf,,0.55,0.55,,0.5,0.4805487873846154,,0.595,0.5772333305037176
cachiman la chine,,0.5,0.4805487873846154,,0.5,0.4805487873846154,,0.595,0.5772333305037176
cachiman marron,,0.56256,0.56256,,0.53128,0.5215543936923077,,0.6725,0.6586166652518588
cachiman sauvage,,0.56256,0.56256,,0.56256,0.56256,,0.75,0.7399999999999999
cachiman zombie,,0.5,0.4805487873846154,,0.5,0.4805487873846154,,0.595,0.5772333305037176
cacome marron,,0.8,0.7831121739130434,,0.8,0.7831121739130434,0.4097523466825996,0.6875,0.6980207277713621
cacorne marron,,0.8,0.7831121739130434,,0.8,0.7831121739130434,0.4097523466825996,0.6875,0.6980207277713621
cactier,,0.54,0.54,,0.54,0.54,,0.54,0.54
cactus,,0.54,0.54,,0.54,0.54,,0.54,0.54
cafe jaune,,0.53,0.5133218846153845,,0.53,0.5133218846153845,,0.695,0.6640156033920452
cafe maron,,0.494,0.49806893333333335,,0.494,0.49806893333333335,,0.494,0.49806893333333335
cafe marron,,0.7637499999999999,0.7637499999999999,,0.73,0.73,,0.586875,0.6069729838225997
cafe sauvage,,0.75,0.7309871428571428,,0.75,0.7309871428571428,,0.6112500000000001,0.6445599785714287
