all_names,mean_BYsp,sd_BYsp,mean_BYgn,sd_BYgn,med_BYgn,mean_BYfm,sd_BYfm,mean_BYgnfm,sd_BYgnfm,mean_GWDBYspgnfm,sd_GWDBYspgnfm,mean_GWDBYgnfm,sd_GWDBYgnfm,mean_GWDBYgn,sd_GWDBYgn,mean_GWDspgnfm,sd_GWDspgnfm,mean_GWDgnfm,sd_GWDgnfm,mean_GWDBYgnfm_CAT,sd_GWDBYgnfm_CAT
cyathee arborescente,,,,,,,,,,0.637216177185931,0.178843768569196,0.636404276639625,0.16906272333754402,0.635395299886149,0.177051014041834,0.635224297914467,0.17553215700209804,0.635205785876634,0.16795124075755202,0.64900160729459,0.18970298025815902
cypres,0.46,0.0,0.46,0.0,0.46,0.46,0.0,0.46,0.0,0.4125,0.0708232617216773,0.4275,0.0941339098036177,0.4275,0.0941339098036177,0.4125,0.0708232617216773,0.4275,0.0941339098036177,0.46,0.0941339098036177
cypres d'italie,,,0.46,0.0,0.46,0.46,0.0,0.46,0.0,0.435,0.0708232617216773,0.4275,0.0941339098036177,0.4275,0.0941339098036177,0.435,0.0708232617216773,0.4275,0.0941339098036177,0.46,0.0941339098036177
cypres de mexico,0.46,0.0,0.46,0.0,0.46,0.46,0.0,0.46,0.0,0.39,0.0708232617216773,0.4275,0.0941339098036177,0.4275,0.0941339098036177,0.39,0.0708232617216773,0.4275,0.0941339098036177,0.46,0.0941339098036177
d'eau livre,,,,,,0.6,0.0,0.6,0.0,0.72,0.0941339098036177,0.72,0.0941339098036177,0.72,0.0941339098036177,0.72,0.0941339098036177,0.72,0.0941339098036177,0.5635,0.12340172424716199
d'olive,0.4500000000000001,0.0,0.41776315789473695,0.015765088382115298,0.4125,0.4450624999999998,0.05447737562629286,0.41776315789473695,0.015765088382115298,0.4118777777777776,0.07859347774899077,0.43714453551912563,0.0941339098036177,0.43714453551912563,0.0941339098036177,0.4270592592592593,0.07859347774899077,0.45275313873195233,0.0941339098036177,0.5609560913204191,0.12599026662179813
daguille,,,,,,,,,,0.637216177185931,0.178843768569196,0.636404276639625,0.16906272333754402,,,0.635224297914467,0.17553215700209804,0.635205785876634,0.16795124075755202,0.64900160729459,0.18970298025815902
dagwi,,,,,,,,,,0.637216177185931,0.178843768569196,0.636404276639625,0.16906272333754402,,,0.635224297914467,0.17553215700209804,0.635205785876634,0.16795124075755202,0.64900160729459,0.18970298025815902
dalemarie,,,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
dalmag,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
dalmagre,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
dalmari,0.4600000000000001,0.0,0.4600000000000001,0.0,0.46,0.5568421052631578,0.12452365378062592,0.4600000000000001,0.0,0.672259930809931,0.12340172424716199,0.672259930809931,0.12340172424716199,,,0.66921165577342,0.12340172424716199,0.66921165577342,0.12340172424716199,0.7038888888888891,0.12340172424716199
