genus,species,wd
Sapindus,saponaria,0.8
Sapium,,0.45
Schefflera,morototoni,0.45
Senna,atomaria,0.71
Senna,siamea,0.7
Sideroxylon,portoricense,0.9
Sideroxylon,salicifolium,0.9450000000000001
Simarouba,,0.375
Sloanea,berteriana,0.8
Spondias,mombin,0.33
Sterculia,apetala,0.33
Swietenia,macrophylla,0.54
Swietenia,mahagoni,0.685
Symphonia,globulifera,0.585
Syzygium,jambos,0.7
Tabebuia,,0.585
Tamarindus,indica,0.8500000000000001
Tectona,grandis,0.585
Terminalia,catappa,0.515
Tetragastris,,0.7050000000000001
Trema,micrantha,0.4
Trichilia,hirta,0.5
Trophis,racemosa,0.535
Vitex,divaricata,0.5700000000000001
Ximenia,americana,0.95
Zanthoxylum,flavum,0.775
Zanthoxylum,martinicense,0.56
Zanthoxylum,monophyllum,0.76
Ziziphus,,0.9
