"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Rutaceae","Fortunella","spp.",0.717027730128668,0.123401724247162,"family",48
"Euphorbiaceae","Garcia","nutans",0.543103218248876,0.123401724247162,"family",72
"Clusiaceae","Garcinia","aristata",0.741621568627451,0.0941339098036177,"genus",51
"Clusiaceae","Garcinia","mangostana",0.81,0.0708232617216773,"species",1
"Garryaceae","Garrya","fadyenii",0.63428403575867,0.156504650873455,"dataset",920
"Arecaceae","Geonoma","interrupta var. interrupta",0.551760416666667,0.123401724247162,"family",16
"Gesneriaceae","Gesneria","spp.",0.63428403575867,0.156504650873455,"dataset",920
"Lythraceae","Ginoria","rohrii",0.692623015873016,0.123401724247162,"family",7
"Myrtaceae","Gomidesia","lindeniana",0.78,0.0941339098036177,"genus",1
"Zygophyllaceae","Guaiacum","sanctum",1.09,0.0708232617216773,"species",2
"Nyctaginaceae","Guapira","discolor",0.670777777777778,0.0941339098036177,"genus",3
"Nyctaginaceae","Guapira","domingensis",0.670777777777778,0.0941339098036177,"genus",3
"Nyctaginaceae","Guapira","fragrans",0.670777777777778,0.0941339098036177,"genus",3
"Nyctaginaceae","Guapira","ligustrifolia",0.670777777777778,0.0941339098036177,"genus",3
"Meliaceae","Guarea","guidonia",0.5651,0.0708232617216773,"species",10
"Rubiaceae","Guettarda","elliptica",0.8,0.0708232617216773,"species",3
"Rubiaceae","Guettarda","multinervis",0.7275,0.0941339098036177,"genus",6
"Rubiaceae","Guettarda","ovalifolia",0.7275,0.0941339098036177,"genus",6
"Rubiaceae","Guettarda","pungens",0.7275,0.0941339098036177,"genus",6
"Rubiaceae","Guettarda","valenzuelana",0.65,0.0708232617216773,"species",1
"Celastraceae","Gymindia","latifolia",0.679654620181406,0.123401724247162,"family",14
"Oleaceae","Haenianthus","salicifolius",0.75792106915718,0.123401724247162,"family",9
"Hernandiaceae","Hernandia","sonora",0.28,0.0708232617216773,"species",3
"Malpighiaceae","Heteropteris","laurifolia",0.682735416666667,0.123401724247162,"family",5
"Malvaceae","Hibiscus","rosa-sinensis",0.456181818181818,0.0941339098036177,"genus",11
"Euphorbiaceae","Hippomane","spinosa",0.5,0.0941339098036177,"genus",1
"Chrysobalanaceae","Hirtella","triandra",0.68275,0.0708232617216773,"species",4
"Flacourtiaceae","Homalium","racemosum",0.63428403575867,0.156504650873455,"dataset",920
"Staphyleaceae","Huertea","cubensis",0.394,0.123401724247162,"family",1
"Euphorbiaceae","Hyeronima","domingensis",0.543103218248876,0.123401724247162,"family",72
"Euphorbiaceae","Hyeronima","spp.",0.543103218248876,0.123401724247162,"family",72
"Menispermaceae","Hyperbaena","lindmanii",0.545,0.123401724247162,"family",2
"Aquifoliaceae","Ilex","azuensis",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","barahonica",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","fuertesiana",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","guianensis",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","impressa",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","krugiana",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","macfadyenii",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","microwrightioides",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","nitida",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","obcordata",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","repanda",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","riedlaei",0.5627,0.0941339098036177,"genus",25
"Aquifoliaceae","Ilex","tuerckheimii",0.5627,0.0941339098036177,"genus",25
"Illiciaceae","Illicium","ekmanii",0.63428403575867,0.156504650873455,"dataset",920
"Illiciaceae","Illicium","parviflorum",0.63428403575867,0.156504650873455,"dataset",920
"Fabaceae","Inga","fagifolia",0.62,0.0708232617216773,"species",1
"Fabaceae","Inga","fastuosa",0.578086944444444,0.0941339098036177,"genus",40
"Rubiaceae","Ixora","ferrea",0.792857142857143,0.0941339098036177,"genus",7
"Euphorbiaceae","Jatropha","curcas",0.17,0.0708232617216773,"species",1
"Euphorbiaceae","Jatropha","integerrima",0.325,0.0941339098036177,"genus",4
"Euphorbiaceae","Jatropha","multifida",0.325,0.0941339098036177,"genus",4
"Cupressaceae","Juniperus","gracilior",0.485,0.0941339098036177,"genus",9
"Flacourtiaceae","Laetia","procera",0.63428403575867,0.156504650873455,"dataset",920
"Flacourtiaceae","Laetia","thamnia",0.63428403575867,0.156504650873455,"dataset",920
"Lythraceae","Lagerstroemia","indica",0.592611111111111,0.0941339098036177,"genus",18
"Lythraceae","Lagerstroemia","speciosa",0.595,0.0708232617216773,"species",2
"Thymeliaceae","Lagetta","lagetto",0.63428403575867,0.156504650873455,"dataset",920
"Theaceae","Laplacea","spp.",0.57,0.0941339098036177,"genus",2
"Lythraceae","Lawsonia","inermis",0.692623015873016,0.123401724247162,"family",7
"Cactaceae","Lemaireocereus","hystrix",0.54,0.123401724247162,"family",1
"Fabaceae","Leucaena","trichodes",0.65,0.0708232617216773,"species",1
"Sapindaceae","Litchi","chinensis",0.854142857142857,0.0708232617216773,"species",7
"Campanulaceae","Lobelia","assurgens",0.63428403575867,0.156504650873455,"dataset",920
"Fabaceae","Lonchocarpus","domingensis",0.760980434782609,0.0941339098036177,"genus",23
"Fabaceae","Lonchocarpus","latifolius",0.760980434782609,0.0941339098036177,"genus",23
"Fabaceae","Lonchocarpus","longipes",0.760980434782609,0.0941339098036177,"genus",23
"Fabaceae","Lonchocarpus","neurophyllus",0.760980434782609,0.0941339098036177,"genus",23
"Flacourtiaceae","Lunania","ekmanii",0.63428403575867,0.156504650873455,"dataset",920
"Ericaceae","Lyonia","rubiginosa",0.6241875,0.123401724247162,"family",8
"Fabaceae","Lysiloma","bahamensis",0.6,0.0708232617216773,"species",1
"Fabaceae","Machaerium","lunatum",0.24,0.0708232617216773,"species",1
"Magnoliaceae","Magnolia","grandiflora",0.437333333333333,0.0708232617216773,"species",3
"Magnoliaceae","Magnolia","hamori",0.504583333333333,0.0941339098036177,"genus",20
"Magnoliaceae","Magnolia","pallescens",0.504583333333333,0.0941339098036177,"genus",20
"Magnoliaceae","Magnolia","spp.",0.504583333333333,0.0941339098036177,"genus",20
"Malpighiaceae","Malpighia","albiflora",0.682735416666667,0.123401724247162,"family",5
"Malpighiaceae","Malpighia","emarginata",0.682735416666667,0.123401724247162,"family",5
"Malpighiaceae","Malpighia","megacantha",0.682735416666667,0.123401724247162,"family",5
"Malpighiaceae","Malpighia","setosa",0.682735416666667,0.123401724247162,"family",5
"Malpighiaceae","Malpighia","urens",0.682735416666667,0.123401724247162,"family",5
"Malvaceae","Malvaviscus","arboreus",0.48873153604215,0.123401724247162,"family",73
"Sapotaceae","Manilkara","gonavensis",0.885127236652237,0.0941339098036177,"genus",21
"Sapotaceae","Manilkara","jaimiqui ssp. haitensis",0.885127236652237,0.0941339098036177,"genus",21
"Euphorbiaceae","Margaritaria","nobilis",0.543103218248876,0.123401724247162,"family",72
"Sapindaceae","Matayba","apetala",0.771333333333333,0.0941339098036177,"genus",5
"Sapindaceae","Matayba","scrobiculata",0.771333333333333,0.0941339098036177,"genus",5
"Celastraceae","Maytenus","buxifolia",0.713194444444444,0.0941339098036177,"genus",18
"Celastraceae","Maytenus","domingensis",0.713194444444444,0.0941339098036177,"genus",18
"Celastraceae","Maytenus","elliptica",0.713194444444444,0.0941339098036177,"genus",18
"Melastomataceae","Mecranium","spp. except amygdalinum",0.609413645224172,0.123401724247162,"family",15
"Sabiaceae","Meliosma","abbreviata",0.478893939393939,0.0941339098036177,"genus",11
"Sabiaceae","Meliosma","herbertii",0.42,0.0708232617216773,"species",1
"Sabiaceae","Meliosma","impressa",0.478893939393939,0.0941339098036177,"genus",11
"Sabiaceae","Meliosma","recurvata",0.478893939393939,0.0941339098036177,"genus",11
"Anarcardiceae","Metopium","brownei",0.63428403575867,0.156504650873455,"dataset",920
"Magnoliaceae","Michelia","champaca",0.5275,0.0708232617216773,"species",4
"Fabaceae","Mimosa","ceratonia",0.840888888888889,0.0941339098036177,"genus",12
"Fabaceae","Mimosa","parvifoliolata",0.840888888888889,0.0941339098036177,"genus",12
"Fabaceae","Mimosa","scabrella",0.534,0.0708232617216773,"species",3
"Fabaceae","Mora","abbottii",0.809797619047619,0.0941339098036177,"genus",4
"Fabaceae","Mora","ekmanii",0.809797619047619,0.0941339098036177,"genus",4
"Brassicaceae","Morisonia","americana",0.63428403575867,0.156504650873455,"dataset",920
"Musaceae","Musa","acuminata colla x m. balbisiana colla 'aaa'",0.63428403575867,0.156504650873455,"dataset",920
"Musaceae","Musa","acuminata colla x m. balbisiana colla 'aab'",0.63428403575867,0.156504650873455,"dataset",920
"Myrtaceae","Myrcia","deflexa",0.8,0.0708232617216773,"species",1
"Myrtaceae","Myrcia","leptoclada",0.8155,0.0941339098036177,"genus",8
"Myrtaceae","Myrcia","splendens",0.8,0.0708232617216773,"species",1
"Myrtaceae","Myrcianthes","esnardiana",0.776833333333333,0.0941339098036177,"genus",3
"Myrtaceae","Myrcianthes","fragrans",0.776833333333333,0.0941339098036177,"genus",3
"Myrtaceae","Myrciaria","floribunda",0.785,0.0708232617216773,"species",2
"Fabaceae","Myrospermum","frutescens",0.83,0.0708232617216773,"species",1
"Fabaceae","Myroxylon","balsamum",0.776428571428571,0.0708232617216773,"species",7
"Myrsinaceae","Myrsine","magnoliifolia",0.63428403575867,0.156504650873455,"dataset",920
"Bombacaceae","Neobuchia","paulinae",0.63428403575867,0.156504650873455,"dataset",920
"Rubiaceae","Neolaugeria","resinosa",0.8,0.0708232617216773,"species",1
"Lauraceae","Ocotea","foeniculacea",0.539081638418079,0.0941339098036177,"genus",59
"Lauraceae","Ocotea","nemodaphne",0.539081638418079,0.0941339098036177,"genus",59
"Lauraceae","Ocotea","oligoneura",0.539081638418079,0.0941339098036177,"genus",59
"Lauraceae","Ocotea","patens",0.539081638418079,0.0941339098036177,"genus",59
"Lauraceae","Ocotea","sintensisii",0.539081638418079,0.0941339098036177,"genus",59
"Lauraceae","Ocotea","wrightii",0.539081638418079,0.0941339098036177,"genus",59
"Euphorbiaceae","Omphalea","commutata",0.4775,0.0941339098036177,"genus",2
"Euphorbiaceae","Omphalea","triandra",0.4775,0.0941339098036177,"genus",2
"Cactaceae","Opuntia","ficus-indica",0.54,0.123401724247162,"family",1
"Cactaceae","Opuntia","moniliformis",0.54,0.123401724247162,"family",1
"Araliaceae","Oreopanax","capitatum",0.52,0.0941339098036177,"genus",3
"Icacinaceae","Ottoschulzia","domingensis",0.64475,0.123401724247162,"family",6
"Icacinaceae","Ottoschulzia","rhodoxylon",0.64475,0.123401724247162,"family",6
"Ochnaceae","Ouratea","ilicifolia",0.742555555555556,0.0941339098036177,"genus",9
"Annonaceae","Oxandra","laurifolia",0.736666666666667,0.0941339098036177,"genus",6
"Bombacaceae","Pachira","aquatica",0.63428403575867,0.156504650873455,"dataset",920
"Bombacaceae","Pachira","insignis",0.63428403575867,0.156504650873455,"dataset",920
"Rubiaceae","Palicourea","alpina",0.55,0.0941339098036177,"genus",2
"Rubiaceae","Palicourea","barbinervia",0.55,0.0941339098036177,"genus",2
"Rubiaceae","Palicourea","crocea",0.56,0.0708232617216773,"species",1
"Rubiaceae","Palicourea","domingensis",0.55,0.0941339098036177,"genus",2
"Rubiaceae","Palicourea","spp.",0.55,0.0941339098036177,"genus",2
"Myrsinaceae","Parathesis","crenulata",0.63428403575867,0.156504650873455,"dataset",920
"Myrsinaceae","Parathesis","serrulata",0.63428403575867,0.156504650873455,"dataset",920
"Fabaceae","Parkia","roxburghii",0.458531818181818,0.0941339098036177,"genus",22
